status,subjectId,questionId,questionNumber,imageSlot,sourceUrl,targetUrl,note
done,anatomy,aiims-2017-anatomy-q018,18,1,/uploads/yellowfool-aiims-2017-anatomy-q018-p11-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q018.png,"Medicomm atlas-style educational histology image generated from the original source image; black background, arrow preserved, source histology preserved."
done,anatomy,aiims-2017-anatomy-q019,19,1,/uploads/yellowfool-aiims-2017-anatomy-q019-p12-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q019.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, numbered markers converted to Roman numerals, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q020,20,1,/uploads/yellowfool-aiims-2017-anatomy-q020-p12-i2.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q020.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels and pointer lines preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q021,21,1,/uploads/yellowfool-aiims-2017-anatomy-q021-p13-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q021.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels and pointer lines preserved, source anatomy preserved."
done,anatomy,aiims-2017-anatomy-q022,22,1,/uploads/yellowfool-aiims-2017-anatomy-q022-p14-i1.jpg,/uploads/medicomm-atlas-aiims-2017-anatomy-q022.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels and pointer lines preserved, source anatomy preserved."
done,anatomy,aiims-2018-anatomy-q001,1,1,/uploads/yellowfool-aiims-2018-anatomy-q001-p31-i1.jpg,/uploads/medicomm-atlas-aiims-2018-anatomy-q001.png,"Medicomm atlas-style educational image reused from an identical converted source image; black background, original markers preserved, source anatomy preserved."
done,anatomy,aiims-2018-anatomy-q005,5,1,/uploads/yellowfool-aiims-2018-anatomy-q005-p32-i1.jpg,/uploads/medicomm-atlas-aiims-2018-anatomy-q005.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels preserved, source anatomy preserved."
done,anatomy,aiims-2018-anatomy-q009,9,1,/uploads/yellowfool-aiims-2018-anatomy-q009-p34-i1.jpg,/uploads/medicomm-atlas-aiims-2018-anatomy-q009.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, arrow preserved, source anatomy preserved."
done,anatomy,aiims-2018-anatomy-q014,14,1,/uploads/yellowfool-aiims-2018-anatomy-q014-p35-i1.jpg,/uploads/medicomm-atlas-aiims-2018-anatomy-q014.png,"Medicomm atlas-style educational image reused from an identical converted source image; black background, arrow preserved, source anatomy preserved."
done,anatomy,aiims-2018-anatomy-q016,16,1,/uploads/yellowfool-aiims-2018-anatomy-q016-p36-i1.jpg,/uploads/medicomm-atlas-aiims-2018-anatomy-q016.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, question marker and pointer line preserved, source anatomy preserved."
done,anatomy,neet-pg-2018-anatomy-q001,1,1,/uploads/yellowfool-neet-pg-2018-anatomy-q001-p112-i1.jpg,/uploads/medicomm-atlas-neet-pg-2018-anatomy-q001.png,"Medicomm atlas-style educational schematic generated from the original source image; black background, letter labels and arrows preserved, source anatomy preserved."
done,anatomy,neet-pg-2018-anatomy-q009,9,1,/uploads/yellowfool-neet-pg-2018-anatomy-q009-p114-i1.jpg,/uploads/medicomm-atlas-neet-pg-2018-anatomy-q009.png,"Medicomm atlas-style educational dissection generated from the original source image; pure black background, letter labels and pointer lines preserved, source anatomy preserved."
done,anatomy,aiims-2019-anatomy-q001,1,1,/uploads/yellowfool-aiims-2019-anatomy-q001-p53-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q001.png,"Medicomm atlas-style surface anatomy image generated from the original source image; black background, no labels added, source relationship preserved."
done,anatomy,aiims-2019-anatomy-q002,2,1,/uploads/yellowfool-aiims-2019-anatomy-q002-p54-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q002.png,"Medicomm atlas-style educational femur illustration generated from the original source image; black background, pointer line preserved, source anatomy preserved."
done,anatomy,aiims-2019-anatomy-q005,5,1,/uploads/yellowfool-aiims-2019-anatomy-q005-p55-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q005.png,"Medicomm atlas-style educational cranial-base specimen generated from the original source image; black background, marker and inset preserved, source anatomy preserved."
done,anatomy,aiims-2019-anatomy-q007,7,1,/uploads/yellowfool-aiims-2019-anatomy-q007-p56-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q007.png,"Medicomm atlas-style educational heart-section illustration generated from the original source image; black background, letter labels and pointer lines preserved, source anatomy preserved."
done,anatomy,aiims-2019-anatomy-q008,8,1,/uploads/yellowfool-aiims-2019-anatomy-q008-p56-i2.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q008.png,"Medicomm atlas-style educational ventral brainstem dissection generated from the original source image; black background, question marker and pointer endpoint preserved, source neuroanatomy preserved."
done,anatomy,aiims-2019-anatomy-q009,9,1,/uploads/yellowfool-aiims-2019-anatomy-q009-p57-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q009.png,"Medicomm atlas-style educational palmar dissection generated from the original source image; black background, question marker, pointer endpoint, and transverse probe preserved, source anatomy preserved."
done,anatomy,aiims-2019-anatomy-q010,10,1,/uploads/yellowfool-aiims-2019-anatomy-q010-p58-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q010.png,"Medicomm atlas-style educational upper-limb illustration generated from the original source image; black background, question marker, pointer endpoint, and teaching probes preserved, source anatomical relationships preserved."
done,anatomy,aiims-2019-anatomy-q011,11,1,/uploads/yellowfool-aiims-2019-anatomy-q011-p58-i2.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q011.png,Medicomm atlas-style educational pelvis illustration generated from the original source image; black background and bilateral red highlights preserved.
done,anatomy,aiims-2019-anatomy-q012,12,1,/uploads/yellowfool-aiims-2019-anatomy-q012-p59-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q012.png,"Medicomm atlas-style educational palmar dissection generated from the original source image; black background, question marker, pointer endpoint, and probes preserved."
done,anatomy,aiims-2019-anatomy-q014,14,1,/uploads/yellowfool-aiims-2019-anatomy-q014-p60-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q014.png,"Medicomm atlas-style educational upper-limb illustration generated from the original source image; black background, A marker, pointer endpoint, and probes preserved."
done,anatomy,aiims-2019-anatomy-q015,15,1,/uploads/yellowfool-aiims-2019-anatomy-q015-p60-i2.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q015.png,Medicomm atlas-style educational left-kidney specimen generated from the original source image; black background and arrow endpoint preserved.
done,anatomy,aiims-2019-anatomy-q016,16,1,/uploads/yellowfool-aiims-2019-anatomy-q016-p61-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q016.png,"Medicomm atlas-style educational midsagittal brain specimen generated from the original source image; black background, arrow direction, and endpoint preserved."
done,anatomy,aiims-2019-anatomy-q017,17,1,/uploads/yellowfool-aiims-2019-anatomy-q017-p62-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q017.png,"Medicomm atlas-style educational heart cross-section generated from the original source image; black background, A marker, and pointer endpoint preserved."
done,anatomy,aiims-2019-anatomy-q018,18,1,/uploads/yellowfool-aiims-2019-anatomy-q018-p62-i2.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q018.png,Medicomm atlas-style educational external-heart specimen generated from the original source image; black background and arrow endpoint preserved.
done,anatomy,aiims-2019-anatomy-q019,19,1,/uploads/yellowfool-aiims-2019-anatomy-q019-p63-i1.jpg,/uploads/medicomm-atlas-aiims-2019-anatomy-q019.png,"Medicomm atlas-style educational coronal head-and-orbit section generated from the original source image; black background, question marker, and pointer endpoint preserved."
done,anatomy,neet-pg-2019-anatomy-q004,4,1,/uploads/yellowfool-neet-pg-2019-anatomy-q004-p126-i1.jpg,/uploads/medicomm-atlas-neet-pg-2019-anatomy-q004.png,Medicomm atlas-style educational horizontal cerebral section generated from the original source image; black background and pointer endpoint preserved.
done,anatomy,neet-pg-2019-anatomy-q005,5,1,/uploads/yellowfool-neet-pg-2019-anatomy-q005-p126-i2.jp2,/uploads/medicomm-atlas-neet-pg-2019-anatomy-q005.png,Medicomm atlas-style educational mandible illustration generated from the original source image; black background and red mandibular-foramen highlight preserved.
done,anatomy,neet-pg-2019-anatomy-q007,7,1,/uploads/yellowfool-neet-pg-2019-anatomy-q007-p127-i1.jpg,/uploads/medicomm-atlas-neet-pg-2019-anatomy-q007.png,"Medicomm atlas-style educational dermatome diagram generated from the original source image; black background, highlighted band, question marker, and pointer endpoint preserved."
done,anatomy,neet-pg-2019-anatomy-q008,8,1,/uploads/yellowfool-neet-pg-2019-anatomy-q008-p128-i1.jpg,/uploads/medicomm-atlas-neet-pg-2019-anatomy-q008.png,"Medicomm atlas-style educational posterolateral forearm illustration generated from the original source image; black background, question marker, and pointer endpoint preserved."
done,anatomy,neet-pg-2019-anatomy-q009,9,1,/uploads/yellowfool-neet-pg-2019-anatomy-q009-p128-i2.jpg,/uploads/medicomm-atlas-neet-pg-2019-anatomy-q009.png,"Medicomm atlas-style educational palmar intrinsic-muscle illustration generated from the original source image; black background, original orientation, question marker, and pointer endpoint preserved."
done,anatomy,neet-pg-2019-anatomy-q010,10,1,/uploads/yellowfool-neet-pg-2019-anatomy-q010-p129-i1.jpg,/uploads/medicomm-atlas-neet-pg-2019-anatomy-q010.png,"Medicomm atlas-style educational cutaneous-innervation map generated from the original source image; black background, distribution territories, and pointer endpoint preserved."
done,anatomy,neet-pg-2019-anatomy-q017,17,1,/uploads/yellowfool-neet-pg-2019-anatomy-q017-p131-i1.jpg,/uploads/medicomm-atlas-neet-pg-2019-anatomy-q017.png,"Medicomm atlas-style educational midsagittal brain diagram generated from the original source image; black background, labels A-D, and marker locations preserved."
done,anatomy,aiims-2020-anatomy-q001,1,1,/uploads/yellowfool-aiims-2020-anatomy-q001-p81-i1.jp2,/uploads/medicomm-atlas-aiims-2020-anatomy-q001.png,"Medicomm atlas-style educational cardiac-embryology model generated from the original source image; black background, A marker, colored regions, and rotation arrows preserved."
done,anatomy,aiims-2020-anatomy-q002,2,1,/uploads/yellowfool-aiims-2020-anatomy-q002-p82-i1.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q002.png,Medicomm atlas-style educational posterior femur illustration generated from the original source image; black background and blue attachment highlight preserved.
done,anatomy,aiims-2020-anatomy-q003,3,1,/uploads/yellowfool-aiims-2020-anatomy-q003-p82-i2.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q003.png,"Medicomm atlas-style educational coronal brain specimen generated from the original source image; black background, orientation inset, A marker, and endpoint preserved."
done,anatomy,aiims-2020-anatomy-q004,4,1,/uploads/yellowfool-aiims-2020-anatomy-q004-p83-i1.jp2,/uploads/medicomm-atlas-aiims-2020-anatomy-q004.png,"Medicomm atlas-style educational lateral skull illustration generated from the original source image; black background, pterion oval, and arrow endpoint preserved."
done,anatomy,aiims-2020-anatomy-q012,12,1,/uploads/yellowfool-aiims-2020-anatomy-q012-p85-i1.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q012.png,"Medicomm atlas-style educational anterior neck illustration generated from the original source image; black background, Thyroid Gland text, labels A-D, and pointer endpoints preserved."
done,anatomy,aiims-2020-anatomy-q013,13,1,/uploads/yellowfool-aiims-2020-anatomy-q013-p86-i1.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q013.png,"Medicomm atlas-style educational palmar hand illustration generated from the original source image; pure black background, first-metacarpal red insertion highlight, laterality, and red arrow preserved."
done,anatomy,aiims-2020-anatomy-q014,14,1,/uploads/yellowfool-aiims-2020-anatomy-q014-p87-i1.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q014.png,"Medicomm atlas-style educational sphenoid-bone illustration generated from the recorded original source image; pure black background, anterior orientation, foramina, and right-sided red pointer endpoint preserved; source scan/question mismatch retained for audit."
done,anatomy,aiims-2020-anatomy-q018,18,1,/uploads/yellowfool-aiims-2020-anatomy-q018-p88-i1.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q018.png,"Medicomm atlas-style educational epithelial histology plate generated from the original source image; black background, oblique tissue orientation, apical projections, and blue arrow endpoint preserved."
done,anatomy,aiims-2020-anatomy-q019,19,1,/uploads/yellowfool-aiims-2020-anatomy-q019-p89-i1.jp2,/uploads/medicomm-atlas-aiims-2020-anatomy-q019.png,"Medicomm atlas-style lateral skull illustration generated from the original source image; pure black background, left-facing orientation, cyan pterion ring, and pointer endpoint preserved."
done,anatomy,aiims-2020-anatomy-q020,20,1,/uploads/yellowfool-aiims-2020-anatomy-q020-p89-i2.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q020.png,"Medicomm atlas-style inferior cranial-base illustration generated from the original source image; pure black background, cranial nerves and four ordered Roman-numeral marker endpoints preserved."
done,anatomy,aiims-2020-anatomy-q022,22,1,/uploads/yellowfool-aiims-2020-anatomy-q022-p90-i1.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q022.png,"Medicomm atlas-style posterior proximal femur illustration generated from the original source image; pure black background, right-femur orientation and gluteal-tuberosity arrow endpoint preserved."
done,anatomy,aiims-2020-anatomy-q023,23,1,/uploads/yellowfool-aiims-2020-anatomy-q023-p91-i1.jpg,/uploads/medicomm-atlas-aiims-2020-anatomy-q023.png,"Medicomm atlas-style T3-T4 axial thoracic section generated from the original source image; pure black background, axial orientation and mediastinal vascular lumen pattern preserved."
done,anatomy,neet-pg-2020-anatomy-q002,2,1,/uploads/yellowfool-neet-pg-2020-anatomy-q002-p142-i1.jpg,/uploads/medicomm-atlas-neet-pg-2020-anatomy-q002.png,"Medicomm atlas-style cerebellar histology plate generated from the original source image; black background, cortical layers, Purkinje-cell row, and pointer endpoint preserved."
done,anatomy,neet-pg-2020-anatomy-q011,11,1,/uploads/yellowfool-neet-pg-2020-anatomy-q011-p145-i1.jpg,/uploads/medicomm-atlas-neet-pg-2020-anatomy-q011.png,"Medicomm atlas-style posterior back-muscle illustration generated from the original source image; pure black background, asymmetric dissection, levator scapulae, question marker, and pointer endpoint preserved."
done,anatomy,neet-pg-2020-anatomy-q014,14,1,/uploads/yellowfool-neet-pg-2020-anatomy-q014-p146-i1.jpg,/uploads/medicomm-atlas-neet-pg-2020-anatomy-q014.png,"Medicomm atlas-style superior thoracic vertebra illustration generated from the original source image; pure black background, paired ribs, question marker, and bilateral costotransverse bracket endpoints preserved."
done,anatomy,neet-pg-2020-anatomy-q015,15,1,/uploads/yellowfool-neet-pg-2020-anatomy-q015-p147-i1.jp2,/uploads/medicomm-atlas-neet-pg-2020-anatomy-q015.png,"Medicomm atlas-style non-graphic clinical Popeye-sign image generated from the original source image; pure black background, flexed-arm pose, laterality, and distal biceps bulge preserved."
done,anatomy,neet-pg-2020-anatomy-q017,17,1,/uploads/yellowfool-neet-pg-2020-anatomy-q017-p148-i1.jpg,/uploads/medicomm-atlas-neet-pg-2020-anatomy-q017.png,"Medicomm atlas-style elastic-cartilage histology plate generated from the original source image; black background, perichondrium, chondrocyte lacunae, and elastic-fiber matrix preserved."
done,anatomy,ini-cet-2021-anatomy-q001,1,1,/uploads/yellowfool-ini-cet-2021-anatomy-q001-p161-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q001.png,"Medicomm atlas-style lateral infant-skull illustration generated from the original source image; pure black background, pediatric proportions, open anterior fontanelle, and blue arrow endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q002,2,1,/uploads/yellowfool-ini-cet-2021-anatomy-q002-p162-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q002.png,"Medicomm atlas-style non-graphic sagittal head-and-neck cutaway generated from the original source image; pure black background, tonsillar fossa and pointer endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q003,3,1,/uploads/yellowfool-ini-cet-2021-anatomy-q003-p162-i2.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q003.png,"Medicomm atlas-style axial orbital CT plate generated from the original source image; black background, scan orientation and bilateral medial-rectus arrow endpoints preserved."
done,anatomy,ini-cet-2021-anatomy-q005,5,1,/uploads/yellowfool-ini-cet-2021-anatomy-q005-p163-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q005.png,"Medicomm atlas-style brainstem-cerebellum illustration generated from the original source image; pure black background, question marker and superior-cerebellar-peduncle endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q006,6,1,/uploads/yellowfool-ini-cet-2021-anatomy-q006-p164-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q006.png,"Medicomm atlas-style coronal brain section generated from the original source image; pure black background, Roman markers I-IV and endpoints for caudate, thalamus, substantia nigra and pons preserved."
done,anatomy,ini-cet-2021-anatomy-q007,7,1,/uploads/yellowfool-ini-cet-2021-anatomy-q007-p165-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q007.png,"Medicomm atlas-style humerus illustration generated from the original source image; pure black background, orientation, Roman markers I-IV and original landmark endpoints preserved."
done,anatomy,ini-cet-2021-anatomy-q008,8,1,/uploads/yellowfool-ini-cet-2021-anatomy-q008-p165-i2.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q008.png,"Medicomm atlas-style pharyngeal-apparatus embryology diagram generated from the original source image; pure black background, bilateral relationships and Roman pouch markers preserved."
done,anatomy,ini-cet-2021-anatomy-q010,10,1,/uploads/yellowfool-ini-cet-2021-anatomy-q010-p167-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q010.png,"Medicomm atlas-style parasagittal abdominal illustration generated from the original source image; pure black background, peritoneal relationships, question marker and epiploic-foramen endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q011,11,1,/uploads/yellowfool-ini-cet-2021-anatomy-q011-p167-i2.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q011.png,"Medicomm atlas-style internal cranial-base illustration generated from the original source image; pure black background, foramina, Roman markers I-IV and cribriform-plate endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q012,12,1,/uploads/yellowfool-ini-cet-2021-anatomy-q012-p168-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q012.png,"Medicomm atlas-style non-graphic gluteal-region dissection generated from the original source image; pure black background, probes, muscle and nerve relationships, Roman markers and gluteus-medius endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q013,13,1,/uploads/yellowfool-ini-cet-2021-anatomy-q013-p169-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q013.png,"Medicomm atlas-style non-graphic sagittal head-and-neck cutaway generated from the original source image; pure black background, Roman markers I-IV and soft-palate/uvular endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q014,14,1,/uploads/yellowfool-ini-cet-2021-anatomy-q014-p169-i2.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q014.png,"Medicomm atlas-style midsagittal brain specimen generated from the original source image; pure black background, mammillary-body arrow direction and endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q015,15,1,/uploads/yellowfool-ini-cet-2021-anatomy-q015-p170-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q015.png,"Medicomm atlas-style cerebellar histology plate generated from the original source image; black microscope background, Purkinje-cell pointer endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q016,16,1,/uploads/yellowfool-ini-cet-2021-anatomy-q016-p171-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q016.png,"Medicomm atlas-style anterior thoracic venous-system illustration generated from the original source image; pure black background, azygos-vein arrow direction and endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q018,18,1,/uploads/yellowfool-ini-cet-2021-anatomy-q018-p172-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q018.png,"Medicomm atlas-style scapula illustration generated from the original source image; pure black background, Roman markers I-IV and original pointer endpoints preserved."
done,anatomy,ini-cet-2021-anatomy-q019,19,1,/uploads/yellowfool-ini-cet-2021-anatomy-q019-p172-i2.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q019.png,"Medicomm atlas-style non-graphic pelvic-floor schematic generated from the original source image; pure black background, Roman markers I-IV and original pelvic-diaphragm endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q020,20,1,/uploads/yellowfool-ini-cet-2021-anatomy-q020-p173-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q020.png,"Medicomm atlas-style respiratory epithelium histology plate generated from the original source image; black background, Roman markers I-IV and basement-membrane endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q021,21,1,/uploads/yellowfool-ini-cet-2021-anatomy-q021-p174-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q021.png,"Medicomm atlas-style atlas vertebra illustration generated from the original source image; pure black background, Roman markers I-IV and original callout map preserved."
done,anatomy,ini-cet-2021-anatomy-q022,22,1,/uploads/yellowfool-ini-cet-2021-anatomy-q022-p174-i2.jp2,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q022.png,"Medicomm atlas-style chest radiology plate generated from the original JP2 source image; black radiology background, left-clavicle arrow direction and endpoint preserved."
done,anatomy,ini-cet-2021-anatomy-q023,23,1,/uploads/yellowfool-ini-cet-2021-anatomy-q023-p175-i1.jpg,/uploads/medicomm-atlas-ini-cet-2021-anatomy-q023.png,"Medicomm atlas-style midsagittal brain specimen generated from the original source image; pure black background, dorsal brainstem red marker and probe orientation preserved."
done,anatomy,neet-pg-2021-anatomy-q003,3,1,/uploads/yellowfool-neet-pg-2021-anatomy-q003-p205-i1.jpg,/uploads/medicomm-atlas-neet-pg-2021-anatomy-q003.png,"Medicomm atlas-style circumvallate papilla histology plate generated from the original source image; black background, papilla morphology and groove relationships preserved."
done,anatomy,ini-cet-2022-anatomy-q009,9,1,/uploads/yellowfool-ini-cet-2022-anatomy-q009-p222-i1.jpg,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q009.png,"Medicomm atlas-style non-graphic palmar hand dissection generated from the original source image; pure black background, first-lumbrical red arrow direction and endpoint preserved."
done,anatomy,ini-cet-2022-anatomy-q010,10,1,/uploads/yellowfool-ini-cet-2022-anatomy-q010-p222-i2.jpg,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q010.png,"Medicomm atlas-style pharyngeal pouch embryology schematic generated from the original source image; pure black background, Roman markers I-IV preserved at original pouch label positions."
done,anatomy,ini-cet-2022-anatomy-q011,11,1,/uploads/yellowfool-ini-cet-2022-anatomy-q011-p223-i1.jpg,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q011.png,"Medicomm atlas-style skin histology plate generated from the original source image; black background, Roman markers I-IV and sweat-gland pointer endpoint preserved."
done,anatomy,ini-cet-2022-anatomy-q012,12,1,/uploads/yellowfool-ini-cet-2022-anatomy-q012-p224-i1.jpg,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q012.png,"Medicomm atlas-style midsagittal brain specimen generated from the original source image; pure black background, anterior corpus-callosum arrow direction and endpoint preserved."
done,anatomy,ini-cet-2022-anatomy-q017,17,1,/uploads/yellowfool-ini-cet-2022-anatomy-q017-p225-i1.jpg,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q017.png,"Medicomm atlas-style anterior thigh muscle illustration generated from the original source image; pure black background, Roman markers I-IV and sartorius endpoint preserved."
done,anatomy,ini-cet-2022-anatomy-q022,22,1,/uploads/yellowfool-ini-cet-2022-anatomy-q022-p227-i1.jp2,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q022.png,"Medicomm atlas-style fibula illustration generated from the original JP2 source image; pure black background, fibular-neck red arrow direction and endpoint preserved."
done,anatomy,ini-cet-2022-anatomy-q024,24,1,/uploads/yellowfool-ini-cet-2022-anatomy-q024-p228-i1.jp2,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q024.png,"Medicomm atlas-style non-graphic subdural hemorrhage teaching plate generated from the original JP2 source image; black background, meningeal/subdural collection relationship preserved."
done,anatomy,ini-cet-2022-anatomy-q027,27,1,/uploads/yellowfool-ini-cet-2022-anatomy-q027-p229-i1.jpg,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q027.png,"Medicomm atlas-style lateral skull pterion illustration generated from the original source image; pure black background, cyan pterion ring and arrow endpoint preserved."
done,anatomy,ini-cet-2022-anatomy-q028,28,1,/uploads/yellowfool-ini-cet-2022-anatomy-q028-p230-i1.jpg,/uploads/medicomm-atlas-ini-cet-2022-anatomy-q028.png,"Medicomm atlas-style embryology cross-section generated from the original source image; black background, NT/N/S labels and neural-crest arrow endpoints preserved."
